"variable","dataset","n","n_subjects","mean","sd","min","q25","median","q75","max"
"PD - Binary","source",600,60,0.294999999999999,0.456423272492528,0,0,0,1,1
"PD - Binary","synthetic",600,60,0.293333333333332,0.455669778605201,0,0,0,1,1
"PD - Continuous","source",600,60,21.0721036666667,12.5141531211299,-3.47,13.175,19.5,28.425,68.3
"PD - Continuous","synthetic",600,60,21.5974295097093,11.5265449335218,0.0825,14.6664309589774,22.3032384285078,29.3034515758951,50.8067136311153
"PD - Count","source",600,60,5.31833333333334,3.75016935251059,0,2,5,8,19
"PD - Count","synthetic",600,60,5.40166666666667,3.81198319978126,0,2,5,8,21
"PD - Ordinal","source",600,60,2.05166666666667,0.856477170816075,1,1,2,3,3
"PD - Ordinal","synthetic",600,60,2.035,0.855371908491502,1,1,2,3,3
"PK Concentration","source",1300,50,3.98836176923077,7.78845840977289,0.05,0.506,1.435,3.965,103
"PK Concentration","synthetic",1300,50,3.73279282480841,6.06300983378575,0.029432409941979,0.590276512856909,1.45958097440286,4.05147730407035,62.209510065533
